date,open,high,low,close,volume,Name
2014-06-27,17.18,17.29,17.145,17.28,31418644,F
2014-06-30,17.3,17.35,17.2,17.24,24099967,F
2014-07-01,17.34,17.4,17.07,17.21,36171515,F
2014-07-02,17.19,17.3,17.17,17.22,17002931,F
2014-07-03,17.23,17.34,17.22,17.32,13581223,F
2014-07-07,17.19,17.4,17.19,17.32,20271602,F
2014-07-08,17.22,17.2387,17.05,17.11,23332243,F
2014-07-09,17.16,17.45,17.14,17.43,27036963,F
2014-07-10,17.2,17.39,17.17,17.3,20165185,F
2014-07-11,17.31,17.49,17.29,17.47,20149953,F
2014-07-14,17.51,17.6,17.45,17.55,20455228,F
2014-07-15,17.55,17.65,17.45,17.54,22631089,F
2014-07-16,17.6601,17.87,17.62,17.8,36065737,F
2014-07-17,17.66,18.08,17.64,17.74,47287297,F
2014-07-18,17.8,17.84,17.65,17.72,24838797,F
2014-07-21,17.65,17.9,17.65,17.7,19200500,F
2014-07-22,17.77,17.86,17.67,17.82,24547298,F
2014-07-23,17.83,17.95,17.78,17.78,30932482,F
2014-07-24,18.01,18.12,17.68,17.84,53837956,F
2014-07-25,17.9,17.92,17.51,17.62,34499753,F
2014-07-28,17.62,17.71,17.47,17.64,29662377,F
2014-07-29,17.65,17.85,17.54,17.57,32972797,F
2014-07-30,17.52,17.6,17.32,17.46,30169696,F
2014-07-31,17.3,17.33,17.01,17.02,34170628,F
2014-08-01,17.05,17.18,16.72,16.81,33677955,F
2014-08-04,16.96,17.136,16.94,17.02,24871286,F
2014-08-05,16.94,17.14,16.78,16.87,24851172,F
2014-08-06,16.74,17.08,16.74,16.98,21872932,F
2014-08-07,17.04,17.1,16.77,16.82,19997660,F
2014-08-08,16.7999,17.12,16.75,17.09,29370435,F
2014-08-11,17.17,17.245,17.11,17.17,17814865,F
2014-08-12,17.15,17.41,17.14,17.21,25514846,F
2014-08-13,17.48,17.48,17.32,17.42,26155194,F
2014-08-14,17.4,17.48,17.23,17.43,19733501,F
2014-08-15,17.49,17.49,17.17,17.31,20959569,F
2014-08-18,17.38,17.52,17.38,17.43,17174948,F
2014-08-19,17.51,17.52,17.32,17.36,15899353,F
2014-08-20,17.35,17.43,17.25,17.41,14207276,F
2014-08-21,17.43,17.49,17.37,17.4,15051296,F
2014-08-22,17.32,17.39,17.15,17.17,20294769,F
2014-08-25,17.21,17.29,17.2,17.23,10770252,F
2014-08-26,17.26,17.35,17.19,17.19,12167204,F
2014-08-27,17.23,17.4,17.21,17.36,18221103,F
2014-08-28,17.27,17.45,17.21,17.42,16855014,F
2014-08-29,17.47,17.49,17.39,17.41,15374784,F
2014-09-02,17.48,17.62,17.48,17.6,18538339,F
2014-09-03,17.71,17.87,17.44,17.47,25723888,F
2014-09-04,17.46,17.6255,17.19,17.27,20733686,F
2014-09-05,17.3,17.3,16.94,17.14,29801662,F
2014-09-08,16.74,16.87,16.71,16.8,47565253,F
2014-09-09,16.79,16.82,16.59,16.63,26656592,F
2014-09-10,16.65,16.72,16.61,16.63,16644382,F
2014-09-11,16.59,16.667,16.51,16.66,14670061,F
2014-09-12,16.64,16.68,16.5,16.59,16512713,F
2014-09-15,16.56,16.62,16.42,16.47,23691587,F
2014-09-16,16.38,16.53,16.16,16.52,23772607,F
2014-09-17,16.59,16.7,16.52,16.53,25366299,F
2014-09-18,16.54,16.65,16.5,16.58,19453018,F
2014-09-19,16.68,16.77,16.58,16.65,35008506,F
2014-09-22,16.58,16.61,16.34,16.36,23800260,F
2014-09-23,16.31,16.35,16.1431,16.17,28285137,F
