date,open,high,low,close,volume,Name
2014-08-05,233.45,236.16,232.798,234.87,445950,GWW
2014-08-06,234.1,236.7,232.32,235.63,407847,GWW
2014-08-07,236.0,236.94,232.7,233.07,331167,GWW
2014-08-08,234.0,236.72,233.28,236.59,377359,GWW
2014-08-11,237.84,239.93,237.48,237.61,296518,GWW
2014-08-12,237.34,239.39,236.68,238.76,261631,GWW
2014-08-13,239.02,240.53,237.05,239.58,358445,GWW
2014-08-14,239.99,240.54,238.16,238.45,365491,GWW
2014-08-15,239.08,239.965,235.36,237.23,347707,GWW
2014-08-18,239.13,242.87,237.55,242.83,528012,GWW
2014-08-19,242.81,246.17,242.06,245.67,399410,GWW
2014-08-20,245.72,245.99,244.58,245.21,449663,GWW
2014-08-21,245.04,248.4,243.8601,247.86,337421,GWW
2014-08-22,247.47,248.11,246.68,247.02,244266,GWW
2014-08-25,248.41,250.66,248.11,249.57,498430,GWW
2014-08-26,249.73,250.35,247.79,248.79,405753,GWW
2014-08-27,248.27,248.37,245.44,246.0,315692,GWW
2014-08-28,244.63,245.87,244.01,245.56,256347,GWW
2014-08-29,245.57,246.63,245.03,246.2,256322,GWW
2014-09-02,246.97,247.7325,245.64,247.43,372278,GWW
2014-09-03,248.0,250.01,248.0,249.85,404074,GWW
2014-09-04,251.14,253.32,249.85,251.64,455605,GWW
2014-09-05,251.18,251.47,248.94,249.48,403202,GWW
2014-09-08,248.59,250.57,248.59,248.84,239333,GWW
2014-09-09,249.23,249.23,246.82,246.88,332700,GWW
2014-09-10,247.26,247.26,245.24,246.58,245882,GWW
2014-09-11,245.59,247.43,244.68,246.54,300532,GWW
2014-09-12,245.91,248.5,245.3,248.45,510470,GWW
2014-09-15,248.88,249.29,246.71,248.42,229254,GWW
2014-09-16,248.37,249.01,245.82,248.67,444823,GWW
2014-09-17,249.86,251.49,248.92,250.3,502354,GWW
2014-09-18,251.1,253.49,250.14,253.08,317743,GWW
2014-09-19,254.38,254.57,252.17,253.42,418294,GWW
2014-09-22,252.79,253.5,250.63,251.32,297172,GWW
2014-09-23,250.93,252.47,250.1101,251.62,423456,GWW
2014-09-24,251.2,254.34,251.2,252.65,336825,GWW
2014-09-25,251.82,252.3399,250.13,250.13,426547,GWW
2014-09-26,250.51,253.2,250.34,252.02,236436,GWW
2014-09-29,249.8,253.32,249.8,252.02,370123,GWW
2014-09-30,252.28,254.75,251.03,251.65,413564,GWW
2014-10-01,251.42,251.67,249.835,250.63,609076,GWW
2014-10-02,250.9,253.33,250.85,252.8,474808,GWW
2014-10-03,254.31,257.29,252.96,255.27,522661,GWW
2014-10-06,255.72,258.19,254.38,255.54,464581,GWW
2014-10-07,253.77,254.83,249.58,249.75,511164,GWW
2014-10-08,250.1,252.31,247.35,252.19,506017,GWW
2014-10-09,251.76,252.99,245.636,246.15,417489,GWW
2014-10-10,245.1,245.35,239.01,240.69,702429,GWW
2014-10-13,240.02,240.66,233.64,234.2,601341,GWW
2014-10-14,235.0,239.8,234.055,238.69,998260,GWW
2014-10-15,237.07,241.55,232.3,239.16,862368,GWW
2014-10-16,228.6,237.49,223.92,229.72,1529360,GWW
2014-10-17,232.75,233.81,230.16,231.9,1407647,GWW
2014-10-20,230.51,232.26,229.37,230.42,776041,GWW
2014-10-21,231.32,235.23,231.32,234.5,1208175,GWW
2014-10-22,235.02,235.07,231.43,231.54,758557,GWW
2014-10-23,234.51,236.67,233.28,235.38,611262,GWW
2014-10-24,235.77,238.31,234.25,237.78,286207,GWW
2014-10-27,237.64,238.78,235.45,238.42,304335,GWW
2014-10-28,239.81,243.13,239.06,242.63,386717,GWW
2014-10-29,242.67,243.94,240.94,242.19,443824,GWW
