date,open,high,low,close,volume,Name
2017-06-14,49.43,49.88,49.08,49.34,757305,BF.B
2017-06-15,49.26,49.77,49.2,49.74,525996,BF.B
2017-06-16,49.67,49.74,49.17,49.47,1096681,BF.B
2017-06-19,49.01,49.76,49.0,49.52,792522,BF.B
2017-06-20,49.44,49.7366,49.18,49.38,714291,BF.B
2017-06-21,49.45,49.5696,48.8,48.83,643227,BF.B
2017-06-22,49.0,49.08,48.34,48.74,530404,BF.B
2017-06-23,48.59,49.14,48.41,48.91,816758,BF.B
2017-06-26,48.87,49.25,48.36,48.9,617157,BF.B
2017-06-27,49.06,49.16,48.4,48.58,726009,BF.B
2017-06-28,49.0,49.57,48.71,49.22,831149,BF.B
2017-06-29,49.02,49.235,48.205,48.75,874680,BF.B
2017-06-30,48.83,49.26,48.59,48.6,644031,BF.B
2017-07-03,48.78,48.97,48.21,48.23,466972,BF.B
2017-07-05,48.23,48.53,47.89,48.2,917354,BF.B
2017-07-06,47.99,48.54,47.9745,48.33,1129618,BF.B
2017-07-07,48.28,48.71,48.07,48.17,626410,BF.B
2017-07-10,48.08,48.22,47.33,47.35,915721,BF.B
2017-07-11,47.15,47.61,47.15,47.36,544519,BF.B
2017-07-12,47.75,48.18,47.56,47.69,786813,BF.B
2017-07-13,47.63,47.78,47.135,47.27,830578,BF.B
2017-07-14,47.6,47.97,47.26,47.39,803629,BF.B
2017-07-17,47.39,47.94,47.29,47.64,790870,BF.B
2017-07-18,47.74,48.38,47.51,48.15,640017,BF.B
2017-07-19,48.05,48.17,47.6,48.17,687038,BF.B
2017-07-20,48.1,48.34,47.88,48.13,601400,BF.B
2017-07-21,48.1,48.35,47.765,48.26,565488,BF.B
2017-07-24,48.0,48.215,47.6,47.98,474988,BF.B
2017-07-25,48.29,48.87,47.82,48.83,1018222,BF.B
2017-07-26,49.02,49.1,48.505,48.99,801166,BF.B
2017-07-27,49.31,50.68,49.18,50.63,1236466,BF.B
2017-07-28,50.51,50.79,49.86,50.03,875604,BF.B
2017-07-31,49.79,49.97,49.38,49.4,976268,BF.B
2017-08-01,49.32,49.72,49.09,49.16,631074,BF.B
2017-08-02,49.06,49.22,48.5,48.94,707553,BF.B
2017-08-03,49.22,49.22,47.98,48.52,746124,BF.B
2017-08-04,48.52,48.61,48.1,48.52,543700,BF.B
2017-08-07,48.34,49.07,48.24,49.02,580247,BF.B
2017-08-08,48.79,49.2,48.76,48.95,727595,BF.B
2017-08-09,49.23,49.74,48.05,48.51,1029599,BF.B
2017-08-10,48.61,48.93,47.56,48.04,768525,BF.B
2017-08-11,48.0,48.72,47.98,48.44,750010,BF.B
2017-08-14,48.46,49.28,48.46,49.03,623551,BF.B
2017-08-15,48.89,49.45,48.76,49.32,914626,BF.B
2017-08-16,49.6,50.38,49.31,50.13,1085024,BF.B
2017-08-17,50.07,50.81,50.07,50.64,1086722,BF.B
2017-08-18,50.57,51.02,50.27,50.87,3262643,BF.B
2017-08-21,50.91,51.095,50.63,50.9,1166927,BF.B
2017-08-22,50.74,51.11,50.59,50.89,856794,BF.B
2017-08-23,50.99,51.005,50.37,50.53,655930,BF.B
2017-08-24,50.63,50.63,49.86,49.95,819190,BF.B
2017-08-25,50.0,50.6,49.95,50.41,762188,BF.B
2017-08-28,50.54,50.68,49.78,50.04,997292,BF.B
2017-08-29,50.21,51.33,50.13,51.2,1570383,BF.B
2017-08-30,51.5,53.77,51.0,53.14,1935290,BF.B
2017-08-31,53.37,53.58,52.65,53.04,1094083,BF.B
2017-09-01,53.26,53.485,52.96,53.38,922159,BF.B
2017-09-05,53.41,53.73,53.155,53.56,1418298,BF.B
2017-09-06,53.52,54.09,53.37,54.04,1147863,BF.B
2017-09-07,54.18,54.5,53.96,54.26,1059714,BF.B
2017-09-08,54.13,54.4,53.84,54.33,605425,BF.B
