date,open,high,low,close,volume,Name
2016-11-21,55.95,56.85,55.52,56.57,1736887,KMX
2016-11-22,57.06,57.86,57.0,57.8,1797496,KMX
2016-11-23,57.62,58.41,57.4701,58.4,1383478,KMX
2016-11-25,58.36,58.86,58.24,58.38,455528,KMX
2016-11-28,58.28,58.61,57.32,57.37,1407885,KMX
2016-11-29,57.73,58.07,56.96,57.51,1141598,KMX
2016-11-30,57.56,58.04,57.35,57.79,1408609,KMX
2016-12-01,58.15,59.38,57.76,59.1,2332673,KMX
2016-12-02,59.16,59.27,57.9,57.99,2162841,KMX
2016-12-05,58.55,58.89,58.04,58.08,1956660,KMX
2016-12-06,58.66,60.56,58.66,60.5,2160323,KMX
2016-12-07,60.34,62.98,60.34,62.8,2005607,KMX
2016-12-08,62.87,64.88,62.77,64.16,2630073,KMX
2016-12-09,63.95,64.06,62.69,62.8,2252321,KMX
2016-12-12,62.78,63.325,62.08,62.8,3030553,KMX
2016-12-13,63.15,63.26,61.672,61.93,2328446,KMX
2016-12-14,61.95,62.315,61.27,61.42,2280887,KMX
2016-12-15,61.51,62.9225,61.51,62.82,1880008,KMX
2016-12-16,62.93,63.84,61.93,62.15,2806173,KMX
2016-12-19,62.15,62.78,62.021,62.36,3334664,KMX
2016-12-20,61.87,66.64,61.73,66.16,4929970,KMX
2016-12-21,66.02,66.43,65.57,66.0,2365035,KMX
2016-12-22,65.76,66.07,63.58,64.06,2333813,KMX
2016-12-23,64.04,64.8,63.44,64.04,1070049,KMX
2016-12-27,64.22,64.66,63.92,64.31,1216092,KMX
2016-12-28,64.61,65.95,63.55,63.79,1703273,KMX
2016-12-29,64.0,64.6,63.5,63.9,1098873,KMX
2016-12-30,64.2,64.58,63.52,64.39,1811519,KMX
2017-01-03,65.03,65.92,64.095,64.82,2302606,KMX
2017-01-04,65.18,67.6,65.08,66.76,3485940,KMX
2017-01-05,66.17,67.17,65.34,66.38,2052177,KMX
2017-01-06,66.19,66.51,65.37,65.4,1277429,KMX
2017-01-09,65.46,65.87,64.85,65.19,1557353,KMX
2017-01-10,65.01,66.73,65.0,65.68,2462390,KMX
2017-01-11,67.09,68.06,66.25,66.89,2431931,KMX
2017-01-12,66.95,67.1,65.48,66.81,1278194,KMX
2017-01-13,66.82,67.51,66.73,67.17,1063040,KMX
2017-01-17,67.17,67.32,66.2,66.47,1402518,KMX
2017-01-18,66.25,66.39,65.22,65.68,2267565,KMX
2017-01-19,65.67,66.88,65.67,66.47,1994854,KMX
2017-01-20,66.68,67.11,66.11,66.65,1306557,KMX
2017-01-23,66.2,67.35,66.13,67.13,1768808,KMX
2017-01-24,67.51,68.72,67.31,68.21,2608697,KMX
2017-01-25,68.19,68.385,67.85,68.2,2866913,KMX
2017-01-26,68.34,68.86,67.56,67.67,1622716,KMX
2017-01-27,67.87,67.97,67.18,67.46,1084433,KMX
2017-01-30,67.3,67.47,66.22,66.89,2534460,KMX
2017-01-31,66.85,66.92,65.74,66.71,3275669,KMX
2017-02-01,65.0,66.55,64.7,65.19,2931719,KMX
2017-02-02,65.37,65.77,64.63,65.0,1689935,KMX
2017-02-03,65.03,66.11,65.03,65.69,1428378,KMX
2017-02-06,65.37,65.59,64.67,65.11,1340321,KMX
2017-02-07,65.16,65.85,65.02,65.83,1669370,KMX
2017-02-08,65.53,66.94,65.5,66.76,2276220,KMX
2017-02-09,66.84,67.68,66.11,67.44,1432574,KMX
2017-02-10,67.72,67.91,66.75,67.54,1531024,KMX
2017-02-13,67.79,67.95,67.03,67.5,1437186,KMX
2017-02-14,67.5,68.31,67.3,68.22,1308614,KMX
2017-02-15,67.91,68.86,67.79,68.6,1793110,KMX
2017-02-16,68.5,69.11,68.2,68.28,1606836,KMX
2017-02-17,67.63,67.65,66.39,67.02,2383545,KMX
