date,open,high,low,close,volume,Name
2017-11-02,40.435,40.71,38.48,39.48,5375822,XL
2017-11-03,39.41,40.12,38.885,40.04,4327861,XL
2017-11-06,39.93,39.9836,39.33,39.69,2118571,XL
2017-11-07,39.8,40.57,39.74,39.91,2140007,XL
2017-11-08,39.98,39.98,39.495,39.53,1816196,XL
2017-11-09,39.14,40.51,39.14,40.14,4498821,XL
2017-11-10,40.15,40.27,39.57,39.71,1779806,XL
2017-11-13,39.64,39.66,39.12,39.4,1693818,XL
2017-11-14,39.21,39.25,38.78,39.0,2205484,XL
2017-11-15,38.76,39.35,38.63,39.23,2346568,XL
2017-11-16,39.29,39.33,38.65,38.67,2303864,XL
2017-11-17,38.58,38.8,38.26,38.63,2711379,XL
2017-11-20,38.61,38.75,38.23,38.72,2185497,XL
2017-11-21,38.84,38.84,38.28,38.3,1239991,XL
2017-11-22,38.28,38.6,37.97,38.25,1398391,XL
2017-11-24,38.31,38.42,37.98,38.08,511204,XL
2017-11-27,38.19,39.07,37.95,38.85,1940957,XL
2017-11-28,38.82,39.185,38.48,39.03,1517896,XL
2017-11-29,39.17,39.94,39.0,39.54,3180049,XL
2017-11-30,39.7,39.93,38.55,38.82,4318330,XL
2017-12-01,38.96,39.04,37.98,38.45,1724501,XL
2017-12-04,38.68,38.79,37.89,37.94,2503463,XL
2017-12-05,37.98,38.05,37.2,37.32,1939911,XL
2017-12-06,37.37,37.68,37.11,37.45,1728960,XL
2017-12-07,37.36,37.46,36.52,36.73,2053061,XL
2017-12-08,36.68,36.87,36.27,36.87,2030996,XL
2017-12-11,36.73,36.84,36.43,36.82,1413553,XL
2017-12-12,36.97,37.22,36.88,37.03,1252780,XL
2017-12-13,37.0,37.09,36.08,36.1,1923082,XL
2017-12-14,35.81,36.05,35.04,35.11,2440969,XL
2017-12-15,35.48,36.56,35.33,36.25,4109932,XL
2017-12-18,36.49,36.52,35.37,35.51,2854988,XL
2017-12-19,35.835,35.96,35.31,35.32,2764279,XL
2017-12-20,35.44,35.61,35.07,35.19,2591826,XL
2017-12-21,35.335,35.38,35.05,35.06,2098548,XL
2017-12-22,35.15,35.27,34.92,35.17,1549316,XL
2017-12-26,35.26,35.63,35.01,35.24,1102697,XL
2017-12-27,35.22,35.34,34.96,35.2,969466,XL
2017-12-28,35.3,35.39,35.02,35.37,1117436,XL
2017-12-29,35.45,35.45,35.16,35.16,1017964,XL
2018-01-02,35.21,35.21,33.86,34.02,2129202,XL
2018-01-03,33.94,34.52,33.77,34.43,1975743,XL
2018-01-04,34.5,35.35,34.42,35.24,3509383,XL
2018-01-05,35.37,35.375,34.49,34.65,2034514,XL
2018-01-08,34.48,34.6,34.23,34.46,2333073,XL
2018-01-09,34.38,34.82,34.21,34.21,1719497,XL
2018-01-10,34.22,34.66,34.07,34.23,2032848,XL
2018-01-11,34.35,35.33,34.35,35.27,2913291,XL
2018-01-12,35.15,35.52,34.561,35.49,3094431,XL
2018-01-16,35.55,35.76,34.96,35.24,2606149,XL
2018-01-17,35.5,35.5,35.05,35.33,1565254,XL
2018-01-18,35.33,35.34,34.655,35.13,2293931,XL
2018-01-19,35.22,35.59,35.02,35.45,2452417,XL
2018-01-22,36.3,37.79,35.9,35.99,4006897,XL
2018-01-23,35.99,36.81,35.71,36.78,2371566,XL
2018-01-24,36.88,37.39,36.59,36.86,2733963,XL
2018-01-25,37.02,37.1505,36.52,36.88,2714087,XL
2018-01-26,36.79,36.83,36.01,36.67,2320107,XL
2018-01-29,36.53,36.76,35.99,36.61,1474345,XL
2018-01-30,36.61,37.47,36.61,36.62,3333433,XL
2018-01-31,36.65,37.195,36.31,36.84,2660286,XL
