date,open,high,low,close,volume,Name
2015-05-14,181.01,181.99,179.05,181.15,472464,AYI
2015-05-15,180.75,183.38,179.67,183.02,321760,AYI
2015-05-18,182.43,182.65,179.51,180.37,641592,AYI
2015-05-19,181.2,182.81,180.622,181.52,393887,AYI
2015-05-20,182.0,183.53,181.26,182.5,639122,AYI
2015-05-21,183.05,183.37,181.93,182.44,253256,AYI
2015-05-22,181.98,183.04,181.49,181.68,377748,AYI
2015-05-26,181.36,182.99,179.46,180.24,558420,AYI
2015-05-27,181.32,182.13,177.64,179.25,757591,AYI
2015-05-28,179.75,180.68,176.2477,178.6,588203,AYI
2015-05-29,178.86,180.46,175.46,176.49,1826496,AYI
2015-06-01,177.42,178.21,174.6,177.39,435232,AYI
2015-06-02,176.92,179.74,175.99,178.51,268292,AYI
2015-06-03,178.33,180.75,178.07,179.71,220748,AYI
2015-06-04,179.04,180.04,178.04,178.39,196767,AYI
2015-06-05,177.93,180.28,176.62,179.99,272754,AYI
2015-06-08,178.98,179.7165,177.32,177.49,247274,AYI
2015-06-09,177.24,179.45,176.531,179.12,233964,AYI
2015-06-10,180.0,181.299,179.2,179.69,248033,AYI
2015-06-11,179.82,181.79,179.04,181.74,247820,AYI
2015-06-12,180.86,181.85,179.68,181.57,278083,AYI
2015-06-15,180.35,184.57,179.5,183.57,442367,AYI
2015-06-16,183.58,184.4299,182.2301,183.19,261498,AYI
2015-06-17,183.9,184.56,181.47,183.48,165159,AYI
2015-06-18,183.76,185.64,183.18,184.9,271308,AYI
2015-06-19,185.43,186.56,185.04,185.96,292801,AYI
2015-06-22,186.59,187.65,184.85,185.38,240937,AYI
2015-06-23,185.68,186.98,184.17,185.19,222076,AYI
2015-06-24,185.19,185.69,180.425,181.03,338241,AYI
2015-06-25,181.43,183.29,180.02,182.48,549602,AYI
2015-06-26,182.09,183.0,180.95,182.27,375858,AYI
2015-06-29,180.18,182.31,179.0,179.27,346211,AYI
2015-06-30,180.94,182.22,179.2,179.98,533621,AYI
2015-07-01,186.42,189.3699,183.0,187.9,751478,AYI
2015-07-02,189.0,189.2,187.1,189.0,468749,AYI
2015-07-06,187.3,188.98,186.09,187.02,501283,AYI
2015-07-07,187.07,189.71,185.48,189.14,471038,AYI
2015-07-08,187.43,187.82,185.89,187.3,475461,AYI
2015-07-09,189.12,190.0,187.55,187.81,415532,AYI
2015-07-10,189.44,191.87,188.3,191.43,710747,AYI
2015-07-13,192.6,194.0,191.21,193.58,498313,AYI
2015-07-14,193.6,197.02,193.3,196.75,567358,AYI
2015-07-15,196.4,196.4,193.54,194.11,688137,AYI
2015-07-16,195.02,195.38,193.04,193.74,397352,AYI
2015-07-17,193.76,194.6,192.82,193.89,336901,AYI
2015-07-20,195.04,196.49,194.15,194.75,651672,AYI
2015-07-21,194.35,194.35,191.24,192.27,488115,AYI
2015-07-22,191.26,193.28,191.26,192.3,378732,AYI
2015-07-23,192.35,193.4,190.34,191.54,376781,AYI
2015-07-24,191.58,192.36,190.775,191.92,337359,AYI
2015-07-27,190.88,192.6994,189.38,191.55,352436,AYI
2015-07-28,191.97,193.79,191.22,192.75,256416,AYI
2015-07-29,193.0,196.75,192.19,196.57,275024,AYI
2015-07-30,195.88,199.89,194.98,197.9,426376,AYI
2015-07-31,198.16,202.03,196.82,201.19,655979,AYI
2015-08-03,201.68,201.99,199.43,200.95,311715,AYI
2015-08-04,200.73,205.695,199.8,204.45,501707,AYI
2015-08-05,206.31,207.55,205.28,206.97,442180,AYI
2015-08-06,207.0,207.38,204.56,205.32,497031,AYI
2015-08-07,205.34,207.3,203.8101,206.57,369410,AYI
2015-08-10,207.7,210.98,207.68,210.01,348298,AYI
