date,open,high,low,close,volume,Name
2013-08-05,47.4,47.65,47.11,47.47,610942,DPS
2013-08-06,47.29,47.4399,46.99,47.15,1183357,DPS
2013-08-07,47.08,47.32,46.91,47.22,595751,DPS
2013-08-08,47.25,47.35,46.97,47.04,921231,DPS
2013-08-09,46.96,47.09,46.66,46.85,818276,DPS
2013-08-12,46.65,46.77,46.45,46.62,774183,DPS
2013-08-13,46.69,46.8,46.33,46.46,649709,DPS
2013-08-14,46.47,46.68,45.81,45.86,1022298,DPS
2013-08-15,45.78,45.94,45.13,45.28,1124788,DPS
2013-08-16,45.17,45.24,44.72,44.83,1264745,DPS
2013-08-19,44.71,45.25,44.53,45.2,1090413,DPS
2013-08-20,45.27,45.74,45.14,45.58,1385919,DPS
2013-08-21,45.48,45.51,45.101,45.16,1173442,DPS
2013-08-22,45.21,45.4,44.93,45.24,583476,DPS
2013-08-23,45.34,45.71,45.3,45.62,910972,DPS
2013-08-26,45.69,45.69,45.18,45.32,872367,DPS
2013-08-27,45.01,45.61,44.89,45.36,1133192,DPS
2013-08-28,45.2,45.54,44.67,44.9,1818660,DPS
2013-08-29,44.72,44.8,44.48,44.59,1570068,DPS
2013-08-30,44.62,44.76,44.515,44.76,1520253,DPS
2013-09-03,45.01,45.14,44.533,44.6,1833325,DPS
2013-09-04,44.58,45.25,44.27,45.25,1323597,DPS
2013-09-05,45.22,45.2556,44.49,44.61,1039749,DPS
2013-09-06,44.69,44.88,44.17,44.47,2002241,DPS
2013-09-09,44.57,44.65,44.2,44.58,1410323,DPS
2013-09-10,44.74,44.9,44.46,44.54,1212309,DPS
2013-09-11,44.54,44.6,44.16,44.31,1839518,DPS
2013-09-12,44.03,44.56,43.9,44.56,1742076,DPS
2013-09-13,44.7,45.04,44.55,44.91,966962,DPS
2013-09-16,45.24,45.5,45.0608,45.13,1177237,DPS
2013-09-17,45.15,45.61,45.13,45.52,889278,DPS
2013-09-18,45.62,46.11,45.32,46.09,1130433,DPS
2013-09-19,45.53,45.94,45.17,45.79,2026442,DPS
2013-09-20,45.92,45.94,45.56,45.59,1683993,DPS
2013-09-23,45.41,45.5,45.08,45.29,916754,DPS
2013-09-24,45.34,45.78,45.23,45.27,1326319,DPS
2013-09-25,45.28,45.46,44.77,44.95,1191168,DPS
2013-09-26,45.06,45.2,44.84,45.07,1113199,DPS
2013-09-27,44.96,45.05,44.57,44.98,1138903,DPS
2013-09-30,44.71,44.9,44.45,44.82,1217608,DPS
2013-10-01,44.78,44.9,44.28,44.48,1658626,DPS
2013-10-02,44.33,44.33,43.71,44.0,2008592,DPS
2013-10-03,44.0,44.09,43.36,43.41,2088438,DPS
2013-10-04,43.34,43.54,43.29,43.47,1695344,DPS
2013-10-07,43.31,43.61,43.29,43.38,1276051,DPS
2013-10-08,43.32,43.65,43.18,43.47,1729440,DPS
2013-10-09,43.5,43.81,43.36,43.63,2244399,DPS
2013-10-10,43.98,44.11,43.84,44.05,1369067,DPS
2013-10-11,43.67,43.96,43.45,43.92,1355529,DPS
2013-10-14,43.79,44.185,43.55,44.17,1045889,DPS
2013-10-15,44.15,44.25,43.71,43.78,1189576,DPS
2013-10-16,44.12,45.05,44.08,45.04,1765745,DPS
2013-10-17,44.89,45.165,44.731,45.03,1332758,DPS
2013-10-18,45.02,45.06,44.89,45.01,1575852,DPS
2013-10-21,44.99,45.01,44.55,44.98,1157568,DPS
2013-10-22,45.01,45.7075,45.01,45.37,1458804,DPS
2013-10-23,45.44,46.82,45.24,46.49,2686767,DPS
2013-10-24,46.74,46.99,46.42,46.49,1788119,DPS
2013-10-25,46.46,47.14,46.46,46.67,1722520,DPS
2013-10-28,46.72,47.825,46.72,47.51,1868818,DPS
2013-10-29,47.68,47.867,47.44,47.71,1869621,DPS
