date,open,high,low,close,volume,Name
2015-08-27,49.68,50.4,49.27,50.34,5577481,PCG
2015-08-28,50.29,50.51,49.76,50.42,2511472,PCG
2015-08-31,50.24,50.53,49.412,49.58,3145115,PCG
2015-09-01,48.52,48.9,47.59,47.88,3462178,PCG
2015-09-02,48.61,48.8,47.33,47.93,3055621,PCG
2015-09-03,47.98,48.43,47.73,48.3,2565996,PCG
2015-09-04,47.83,47.97,47.42,47.6,2813586,PCG
2015-09-08,48.3,48.79,47.895,48.78,5176225,PCG
2015-09-09,49.0,49.08,47.82,47.91,3499348,PCG
2015-09-10,47.78,48.32,47.54,47.7,3056867,PCG
2015-09-11,47.53,48.48,47.47,48.44,3037032,PCG
2015-09-14,48.52,48.84,48.02,48.49,3257654,PCG
2015-09-15,48.58,49.01,48.195,48.8,4465244,PCG
2015-09-16,48.8,49.38,48.73,49.28,2387078,PCG
2015-09-17,49.21,51.03,48.94,50.09,5314449,PCG
2015-09-18,49.9,51.1,49.32,50.53,9342759,PCG
2015-09-21,50.69,51.35,50.52,51.18,3630106,PCG
2015-09-22,50.92,51.69,50.52,51.45,7625807,PCG
2015-09-23,51.49,52.05,51.18,52.0,6285058,PCG
2015-09-24,51.71,52.6,51.35,52.44,4600553,PCG
2015-09-25,52.56,53.59,52.37,52.92,3907170,PCG
2015-09-28,52.26,52.73,51.79,52.01,3278655,PCG
2015-09-29,52.11,52.18,51.46,52.01,3281517,PCG
2015-09-30,52.3,52.905,52.05,52.8,4164719,PCG
2015-10-01,52.92,53.0,52.26,52.58,3085561,PCG
2015-10-02,52.74,53.0,52.24,53.0,2828426,PCG
2015-10-05,53.27,53.5,52.715,53.46,3164632,PCG
2015-10-06,53.42,53.49,52.69,53.11,3423496,PCG
2015-10-07,53.2,53.27,52.47,52.73,2467661,PCG
2015-10-08,52.58,53.25,52.35,53.09,2576949,PCG
2015-10-09,53.09,53.28,52.46,52.5,2920962,PCG
2015-10-12,52.71,53.4,52.65,53.0,4137877,PCG
2015-10-13,52.99,53.23,52.68,52.74,2323765,PCG
2015-10-14,52.8,53.29,52.7,52.77,2472990,PCG
2015-10-15,52.88,54.08,52.87,54.05,3015798,PCG
2015-10-16,53.99,54.35,53.88,54.03,4209161,PCG
2015-10-19,53.93,54.29,53.62,54.29,2782483,PCG
2015-10-20,54.09,54.83,54.0,54.33,1671027,PCG
2015-10-21,54.71,54.99,54.13,54.17,1798466,PCG
2015-10-22,54.24,54.7,54.22,54.5,2286766,PCG
2015-10-23,54.41,54.57,53.57,53.63,2383531,PCG
2015-10-26,53.77,53.91,53.27,53.79,3388377,PCG
2015-10-27,53.73,54.21,53.73,54.07,4097072,PCG
2015-10-28,53.9,54.1,52.14,52.95,3979996,PCG
2015-10-29,52.75,53.34,51.47,52.35,5265529,PCG
2015-10-30,52.47,53.76,52.37,53.4,4782346,PCG
2015-11-02,53.35,53.73,52.93,53.55,2595313,PCG
2015-11-03,53.37,53.69,52.97,53.63,2370921,PCG
2015-11-04,53.48,54.21,53.39,54.16,2824092,PCG
2015-11-05,54.07,54.38,53.67,53.72,2902599,PCG
2015-11-06,52.85,52.85,51.05,51.93,4892330,PCG
2015-11-09,51.72,52.7,51.62,52.5,3454989,PCG
2015-11-10,52.47,53.39,52.28,53.37,2730882,PCG
2015-11-11,53.46,53.79,53.32,53.67,2668546,PCG
2015-11-12,53.56,54.12,52.77,52.79,1734943,PCG
2015-11-13,52.79,53.32,52.13,52.26,2074534,PCG
2015-11-16,52.22,53.45,52.05,53.44,2170973,PCG
2015-11-17,53.25,53.68,51.95,52.15,2870681,PCG
2015-11-18,52.17,52.775,51.72,52.67,2248016,PCG
2015-11-19,52.79,53.4,52.67,53.19,1663089,PCG
2015-11-20,53.49,53.94,53.34,53.58,1874623,PCG
