date,open,high,low,close,volume,Name
2017-08-02,42.13,42.95,41.81,42.85,9983325,HAL
2017-08-03,42.77,42.85,41.76,42.03,7944770,HAL
2017-08-04,42.0,42.11,41.55,41.99,6534104,HAL
2017-08-07,41.77,41.86,41.0837,41.45,7546654,HAL
2017-08-08,41.2,41.83,40.71,41.03,9244666,HAL
2017-08-09,41.18,41.38,40.75,41.29,6396729,HAL
2017-08-10,41.32,41.33,40.36,40.51,6988607,HAL
2017-08-11,40.3,40.74,40.0,40.02,5519611,HAL
2017-08-14,40.05,40.2,39.75,39.91,7282298,HAL
2017-08-15,39.83,39.9,39.25,39.55,7691316,HAL
2017-08-16,39.69,39.96,39.13,39.32,6662680,HAL
2017-08-17,39.2,39.36,38.55,38.69,8145354,HAL
2017-08-18,38.66,39.45,38.181,38.99,8868248,HAL
2017-08-21,38.93,38.99,38.55,38.74,5084521,HAL
2017-08-22,38.86,39.03,38.65,38.66,6032763,HAL
2017-08-23,38.56,39.28,38.52,39.03,4623469,HAL
2017-08-24,38.97,39.0,38.565,38.79,7345872,HAL
2017-08-25,38.93,39.3709,38.84,39.01,6167208,HAL
2017-08-28,39.07,39.18,38.28,38.79,7348340,HAL
2017-08-29,38.66,38.79,38.34,38.72,5120540,HAL
2017-08-30,38.61,39.041,38.38,38.67,4481885,HAL
2017-08-31,38.9,39.15,38.6,38.97,7303673,HAL
2017-09-01,38.99,39.3,38.81,38.9,5199470,HAL
2017-09-05,39.28,40.16,39.25,39.83,16731549,HAL
2017-09-06,40.22,41.19,40.18,41.01,14240562,HAL
2017-09-07,41.0,41.42,40.68,41.31,8303663,HAL
2017-09-08,41.24,41.26,39.86,40.29,9178227,HAL
2017-09-11,40.43,40.77,40.19,40.63,10529778,HAL
2017-09-12,40.67,41.51,40.46,41.26,6736876,HAL
2017-09-13,41.36,42.245,41.26,41.8,10385095,HAL
2017-09-14,45.64,46.67,45.56,45.87,8005280,HAL
2017-09-15,42.09,42.34,41.86,42.31,8173031,HAL
2017-09-18,42.4,42.91,42.105,42.62,6479032,HAL
2017-09-19,42.82,42.925,42.3699,42.81,7023888,HAL
2017-09-20,42.9,43.78,42.86,43.61,12057125,HAL
2017-09-21,43.5,43.7,43.11,43.48,9634317,HAL
2017-09-22,43.48,44.32,43.47,44.25,9209116,HAL
2017-09-25,44.51,45.11,44.4,44.69,11540118,HAL
2017-09-26,44.5,44.87,44.24,44.64,6066963,HAL
2017-09-27,44.74,45.72,44.54,45.58,11317004,HAL
2017-09-28,45.7,46.08,45.55,45.83,12198121,HAL
2017-09-29,45.61,46.18,45.49,46.03,6683345,HAL
2017-10-02,45.23,45.73,45.02,45.53,7408862,HAL
2017-10-03,45.42,45.51,44.785,44.93,8635491,HAL
2017-10-04,45.05,45.42,44.84,45.18,7061099,HAL
2017-10-05,45.36,45.39,44.94,45.09,5485834,HAL
2017-10-06,44.86,45.05,44.23,44.75,11162207,HAL
2017-10-09,44.76,45.19,44.73,44.93,3709065,HAL
2017-10-10,45.34,45.87,44.98,45.03,6521962,HAL
2017-10-11,44.93,45.52,44.71,45.51,5749518,HAL
2017-10-12,45.02,45.2,44.69,44.76,5783495,HAL
2017-10-13,45.21,45.36,44.67,44.72,4730045,HAL
2017-10-16,44.98,45.17,44.58,44.61,4114196,HAL
2017-10-17,44.6,44.66,44.145,44.46,7556586,HAL
2017-10-18,44.48,44.8,43.59,43.77,7481729,HAL
2017-10-19,43.55,43.82,43.08,43.42,9024572,HAL
2017-10-20,43.56,43.7,43.01,43.33,10522555,HAL
2017-10-23,42.51,43.61,42.15,42.24,12842922,HAL
2017-10-24,42.43,42.65,41.28,41.37,14280545,HAL
2017-10-25,41.4,41.74,41.0,41.48,7799852,HAL
2017-10-26,41.53,41.91,40.96,41.24,8211259,HAL
