date,open,high,low,close,volume,Name
2014-04-29,49.56,50.47,49.186,50.06,1038357,ALGN
2014-04-30,49.81,50.77,49.48,50.39,1070574,ALGN
2014-05-01,50.35,51.83,49.61,51.0,1160565,ALGN
2014-05-02,51.15,51.59,50.35,50.43,620913,ALGN
2014-05-05,49.91,50.59,49.22,50.33,655674,ALGN
2014-05-06,49.99,50.95,48.91,49.03,847329,ALGN
2014-05-07,49.05,49.05,47.22,48.19,1444299,ALGN
2014-05-08,48.18,49.53,47.221,48.04,925166,ALGN
2014-05-09,47.87,49.46,47.52,49.45,648835,ALGN
2014-05-12,49.71,51.52,49.22,51.3,872404,ALGN
2014-05-13,51.08,51.648,50.7301,51.01,695490,ALGN
2014-05-14,50.71,51.16,49.93,50.09,715329,ALGN
2014-05-15,49.65,50.0,48.88,49.69,538232,ALGN
2014-05-16,49.73,50.36,49.07,50.35,559933,ALGN
2014-05-19,50.07,51.16,49.8,50.79,804198,ALGN
2014-05-20,50.63,50.63,49.52,50.04,978614,ALGN
2014-05-21,50.14,52.9855,49.75,52.71,1316208,ALGN
2014-05-22,52.55,53.25,51.99,52.72,778497,ALGN
2014-05-23,52.71,54.35,52.32,54.13,876032,ALGN
2014-05-27,54.72,54.99,53.55,53.69,956032,ALGN
2014-05-28,53.5,54.14,52.55,53.18,1004374,ALGN
2014-05-29,53.6,55.42,52.85,55.12,1456714,ALGN
2014-05-30,54.99,55.329,53.765,54.61,1290553,ALGN
2014-06-02,54.75,55.235,54.23,55.01,823319,ALGN
2014-06-03,54.25,55.44,53.87,53.89,1183859,ALGN
2014-06-04,53.64,53.64,52.89,53.37,1127954,ALGN
2014-06-05,53.46,54.1,52.67,53.56,614817,ALGN
2014-06-06,53.88,53.88,52.94,53.37,804004,ALGN
2014-06-09,53.19,53.77,52.83,53.15,703902,ALGN
2014-06-10,53.13,53.47,52.07,52.47,644762,ALGN
2014-06-11,51.85,52.7065,51.55,51.6,648093,ALGN
2014-06-12,51.65,51.86,50.67,50.81,826663,ALGN
2014-06-13,51.08,51.08,50.31,50.78,728234,ALGN
2014-06-16,50.69,51.19,50.37,50.95,745131,ALGN
2014-06-17,50.75,51.99,50.558,51.055,595450,ALGN
2014-06-18,51.01,51.92,50.8,51.83,562942,ALGN
2014-06-19,52.03,52.18,51.7101,52.16,628920,ALGN
2014-06-20,52.52,52.65,52.08,52.39,1222501,ALGN
2014-06-23,52.25,52.74,52.06,52.51,925904,ALGN
2014-06-24,52.15,53.11,52.15,52.74,1378562,ALGN
2014-06-25,52.43,54.125,52.2,54.05,1096219,ALGN
2014-06-26,55.18,55.18,54.08,55.13,1458826,ALGN
2014-06-27,54.95,56.63,54.78,56.32,10715610,ALGN
2014-06-30,56.4,56.75,55.76,56.04,1355988,ALGN
2014-07-01,56.33,57.63,56.165,57.36,1213641,ALGN
2014-07-02,57.36,57.79,56.57,56.79,872965,ALGN
2014-07-03,56.91,57.19,56.42,57.14,749597,ALGN
2014-07-07,56.97,57.23,55.9925,56.12,678461,ALGN
2014-07-08,56.05,56.05,54.5,55.11,979110,ALGN
2014-07-09,55.2,55.63,54.85,55.06,558929,ALGN
2014-07-10,54.23,55.16,54.01,54.46,881226,ALGN
2014-07-11,54.57,54.8,53.46,54.09,779923,ALGN
2014-07-14,54.72,54.74,54.1,54.31,390955,ALGN
2014-07-15,54.27,54.44,53.06,53.91,524510,ALGN
2014-07-16,54.35,54.45,53.5,53.92,590735,ALGN
2014-07-17,53.6,54.13,52.17,52.26,836551,ALGN
2014-07-18,52.3,52.61,51.86,52.57,1705169,ALGN
2014-07-21,52.15,52.37,51.29,51.62,1439173,ALGN
2014-07-22,52.0,53.17,51.96,52.62,1070338,ALGN
2014-07-23,52.79,53.24,52.51,53.12,705354,ALGN
2014-07-24,53.27,53.52,52.94,53.23,1025679,ALGN
