date,open,high,low,close,volume,Name
2017-09-29,42.59,42.94,41.5,41.61,2731680,LB
2017-10-02,41.64,42.14,40.44,42.13,3678088,LB
2017-10-03,42.09,42.81,41.99,42.72,3987073,LB
2017-10-04,42.84,42.98,41.18,41.36,4097997,LB
2017-10-05,40.19,43.35,39.85,42.79,8725647,LB
2017-10-06,42.5,43.5894,42.02,42.92,4514867,LB
2017-10-09,42.98,42.98,41.74,42.17,2668519,LB
2017-10-10,42.17,43.72,42.17,42.95,3193450,LB
2017-10-11,42.86,42.94,41.71,41.85,3640093,LB
2017-10-12,41.68,41.74,40.7,41.43,2847434,LB
2017-10-13,41.61,42.45,41.23,41.84,1780699,LB
2017-10-16,41.8,41.98,40.89,41.28,4697534,LB
2017-10-17,41.2,41.88,40.93,41.51,2519104,LB
2017-10-18,41.59,42.24,41.21,42.12,3313078,LB
2017-10-19,41.95,42.195,41.6,42.0,1933994,LB
2017-10-20,42.46,43.94,42.31,43.75,4087029,LB
2017-10-23,43.83,45.57,43.68,43.92,4979023,LB
2017-10-24,43.92,44.63,43.56,44.43,3092609,LB
2017-10-25,44.17,44.53,43.24,44.295,2049475,LB
2017-10-26,43.48,44.77,43.2,44.23,3807717,LB
2017-10-27,43.36,44.79,42.79,44.71,3823670,LB
2017-10-30,44.43,44.43,42.54,42.83,6092591,LB
2017-10-31,42.83,43.6,42.735,43.04,3848163,LB
2017-11-01,43.46,44.39,42.535,43.61,5355223,LB
2017-11-02,46.7,48.44,46.11,47.1,9628195,LB
2017-11-03,47.0,47.41,46.26,46.72,5643074,LB
2017-11-06,47.08,48.49,46.9,47.58,4223938,LB
2017-11-07,47.64,48.23,46.3701,46.94,3724780,LB
2017-11-08,46.87,47.53,46.5,47.38,2897584,LB
2017-11-09,47.02,48.54,46.83,48.25,3650922,LB
2017-11-10,48.21,50.19,48.12,49.66,4457756,LB
2017-11-13,49.4,50.23,48.34,48.95,4324341,LB
2017-11-14,48.3,49.31,48.3,49.27,2193293,LB
2017-11-15,48.97,49.69,48.34,49.26,6355591,LB
2017-11-16,46.65,49.34,46.65,49.12,6387204,LB
2017-11-17,50.91,51.78,49.91,50.48,4732639,LB
2017-11-20,50.52,50.86,49.185,50.06,3450001,LB
2017-11-21,50.12,50.14,49.34,49.69,2794475,LB
2017-11-22,49.28,49.62,48.79,48.8,2617699,LB
2017-11-24,49.29,49.64,48.29,48.36,2075271,LB
2017-11-27,48.55,50.78,48.37,50.34,3878850,LB
2017-11-28,50.43,52.5,50.06,52.32,3506166,LB
2017-11-29,52.34,53.335,51.75,52.53,6338872,LB
2017-11-30,52.37,57.1884,52.33,56.07,11238528,LB
2017-12-01,55.86,56.2,54.09,55.85,5394969,LB
2017-12-04,56.62,58.21,56.51,57.1,4953816,LB
2017-12-05,56.38,56.5,55.19,55.3,2740239,LB
2017-12-06,55.57,56.415,55.2,55.21,3066104,LB
2017-12-07,55.52,55.98,54.45,55.1,3919165,LB
2017-12-08,55.22,57.325,55.04,57.28,4241317,LB
2017-12-11,57.22,58.0,56.63,57.99,3717931,LB
2017-12-12,57.95,58.73,57.52,58.32,3578259,LB
2017-12-13,58.57,59.2,58.174,58.82,3362301,LB
2017-12-14,59.21,60.33,57.95,58.57,5467709,LB
2017-12-15,58.965,59.48,57.77,58.11,8805885,LB
2017-12-18,58.34,61.065,58.265,61.01,4475323,LB
2017-12-19,61.08,61.45,60.13,60.34,4491822,LB
2017-12-20,60.47,60.88,59.75,60.4,3658494,LB
2017-12-21,60.76,60.91,59.44,60.59,4314906,LB
2017-12-22,60.32,61.39,60.03,61.36,1868521,LB
2017-12-26,61.24,63.1,61.15,62.95,2028900,LB
