date,open,high,low,close,volume,Name
2017-03-10,97.88,97.88,97.2301,97.47,949805,HAS
2017-03-13,97.41,97.9,97.27,97.69,913552,HAS
2017-03-14,97.88,98.728,97.49,98.18,943475,HAS
2017-03-15,98.32,99.83,97.93,99.51,1267114,HAS
2017-03-16,99.66,100.14,99.01,99.24,953711,HAS
2017-03-17,98.99,100.55,98.69,100.25,1341255,HAS
2017-03-20,100.22,101.08,99.53,100.55,1355341,HAS
2017-03-21,100.72,101.0,98.72,98.76,818593,HAS
2017-03-22,98.65,99.17,98.03,98.78,1492796,HAS
2017-03-23,99.15,100.23,99.0,99.93,998237,HAS
2017-03-24,100.01,100.46,99.72,99.97,887424,HAS
2017-03-27,99.28,99.7,98.75,99.05,1171478,HAS
2017-03-28,99.06,99.99,98.28,99.4,925242,HAS
2017-03-29,99.05,99.69,98.84,99.65,819505,HAS
2017-03-30,99.36,99.71,99.1,99.58,665058,HAS
2017-03-31,99.6,100.54,99.44,99.82,840430,HAS
2017-04-03,99.9,100.35,99.23,99.59,1323234,HAS
2017-04-04,99.23,99.81,97.61,97.85,865428,HAS
2017-04-05,98.01,98.21,96.33,96.56,2022976,HAS
2017-04-06,96.49,96.88,96.04,96.43,1598245,HAS
2017-04-07,96.69,96.77,95.54,95.75,971092,HAS
2017-04-10,95.87,96.14,94.76,95.78,805230,HAS
2017-04-11,95.43,96.33,94.87,96.29,849003,HAS
2017-04-12,96.21,96.99,95.645,96.46,946335,HAS
2017-04-13,96.11,96.53,95.46,95.5,916033,HAS
2017-04-17,95.74,96.1895,95.07,95.83,709445,HAS
2017-04-18,95.76,96.19,95.405,95.69,673677,HAS
2017-04-19,96.16,96.51,94.98,95.51,982623,HAS
2017-04-20,96.02,96.56,95.515,96.01,1018419,HAS
2017-04-21,94.84,96.52,94.7921,96.03,1997742,HAS
2017-04-24,102.28,104.14,99.68,101.7,5714965,HAS
2017-04-25,101.17,102.8,100.93,101.57,1713536,HAS
2017-04-26,101.37,101.99,100.895,101.04,1129647,HAS
2017-04-27,100.81,101.04,99.73,100.52,1284740,HAS
2017-04-28,100.3,100.36,98.5,99.11,1475383,HAS
2017-05-01,99.48,99.48,98.01,98.78,1317028,HAS
2017-05-02,99.4,100.025,98.985,99.67,977336,HAS
2017-05-03,99.65,99.92,98.67,99.08,826468,HAS
2017-05-04,99.3,99.71,98.91,99.37,786829,HAS
2017-05-05,99.6,100.22,99.12,100.2,488540,HAS
2017-05-08,100.45,100.77,99.65,99.75,430467,HAS
2017-05-09,99.6,101.2,99.43,101.19,1094170,HAS
2017-05-10,101.12,101.86,100.72,101.82,1090782,HAS
2017-05-11,101.27,101.52,100.45,101.38,588692,HAS
2017-05-12,101.06,101.55,100.85,101.37,472651,HAS
2017-05-15,101.23,101.82,100.88,101.29,502724,HAS
2017-05-16,101.13,101.21,100.6,101.02,650743,HAS
2017-05-17,100.55,101.08,99.405,99.47,713145,HAS
2017-05-18,99.35,99.83,98.62,99.53,668988,HAS
2017-05-19,99.57,101.58,98.2664,101.05,748920,HAS
2017-05-22,100.68,102.08,100.5,101.26,782736,HAS
2017-05-23,101.65,101.73,100.507,100.98,608387,HAS
2017-05-24,101.73,104.11,101.535,103.96,1171370,HAS
2017-05-25,104.38,104.82,103.98,104.17,954325,HAS
2017-05-26,104.39,104.79,103.72,104.21,637496,HAS
2017-05-30,104.13,104.64,103.71,104.24,503571,HAS
2017-05-31,104.45,105.39,104.01,105.26,665011,HAS
2017-06-01,105.32,106.43,104.91,105.97,746053,HAS
2017-06-02,106.12,108.04,105.6,107.16,1058117,HAS
2017-06-05,107.04,107.88,106.6001,107.8,1048067,HAS
2017-06-06,107.59,108.85,106.76,108.0,674720,HAS
